[Log] Setting target position: – {x: 1218.9219367588921, y: 755.3685770751} (bundle.js, line 1)
[Log]   -> Neighbor (1029,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,902) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1043,884) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1045,884) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1045,886) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,899) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,901) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1028,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1030,897) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1054,872) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1056,872) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1056,874) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,898) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1032,900) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1044,883) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1046,883) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1046,885) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1029,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
[Log]   -> Neighbor (1031,896) cost: 1.41 (slope: 0.00, modifier: 1.00) (bundle.js, line 1)
